1	@kitlc_kurume
2	@tsukubaLC
3	@liss_kaetsu_gm
4	@ochalisa_lib
5	@PLR_ritsumei
6	@wakouniv_lib
7	@CIAS_library
8	@tamamihatake
9	@ShinshuUnivLib
10	@LibraryOtemae
11	@en_hit
12	@LA_Fukui_Univ_L
13	@keiolibronbun
14	@FLCkouhou
15	@ShizuokaUnivLib	@bibshizuoka
16	@tku_toshobu	@tkulibrary
17	@MUES_muelibrary	@library_lovers
18	@TitechLibFan	@TokyoTechLib
19	@rikkyo_lib	@RikkyoMC
20	@Yokoichi_LS	@aulsd
21	@lib_tcu	@TCU_jp
22	@obirin_reading	@Teikyo_MELIC
23	@juen_lib	@AUE_Lib
24	@mrctwi	@Tohoku_Banzai
25	@tumsat_slib	@tumsat_elib
26	@UTokyoKomabaLib	@UTokyo_AgLib
27	@tulips_tenji	@gama_jumper
28	@learn_supporter	@dwc_toshosapo
29	@fu_lib	@Kindai_Clib
30	@KagawaUnivLM	@KagawaUnivLib
31	@lib_toho	@tcmlib
32	@tosho376	@Shigabunkyo_lib
33	@cinii_jp	@jouhouken
34	@waseda_univ_WUL	@waseda_ENPAKU
35	@lib_josai	@lib_advis	@hosei_iLib
36	@hontomo_nagoya	@meidaibibubato
37	@oisr1919	@university_lib	@lib_list	@mu_lib2	@sgu_kjc_media	@kukiwak	@geitanlib
38	@ueclib	@sojo_tosyo
39	@ICU_Lib	@NagoyaUnivLibSD	@NIIlib
40	@geibunlibrary	@KyoaiLibrary
41	@Ehime_Univ_Lib	@hirodai_tosho	@shindai_nana
42	@tamabi_library	@kogakuinslib
43	@cislibrary	@nit_kc_lib	@nisshilib	@KIT_Library
44	@tcu_lib	@media_lib
45	@keiogakushusoud	@hysmedia_keio	@scitechmckeio
46	@NUTLibrary	@bunkyo_slib
47	@NMC_newbook	@azabusenta	@imr_lib
48	@ycclib	@shobi_lib
49	@hinoto_kgulib	@geitanlib
50	@yoshidasouthlib	@TenshiLibrary
51	@irdlib	@kadai_lib
52	@1961cogito	@crd_tweet
53	@medinfo_toku	@RitsARC	@shirayuri_lib
54	@turudai_lib	@hagi_no_suke
55	@studyassistant	@kyoritsu_lib
56	@scc_sapmed	@Aigei_Library
57	@koyasanlib	@nvlulib
58	@bunkalib	@medialib
59	@iidawjclib	@shohoku_lib
60	@UTokyoNewLib	@gacos_utokyo	@UTokyoLibAsk	@UTokyo_epslib	@acsUTokyoNewLib
61	@hosei_kLib	@kavos2011
62	@TottoriU_Lib	@Media_Gundai	@HiroshimaU_Lib
63	@ALC_Chiba_Univ	@OkayamaUnivLib
64	@HiroshimaCU_lib	@daito_mlib
65	@meiji_lib	@seisen_lib
66	@GKB48Tweet	@NatureJapan
67	@mau_m_l	@toshokatsu_kwu
68	@kyotomm	@mikasalib
69	@bibliozenkoku	@Bibliophilia_KU	@libsup20151	@miyakyobbc
70	@KUIS_Lib	@aiit4u
71	@mochi_pro	@HIT_LIB
72	@nims_library	@kulibrarians
73	@daitokenkyoto	@daitoken	@dtk_doc
74	@hannan_univ_lib	@SurfaceJP
75	@libkyodo2014	@U_PARL
76	@naito_nmu	@HULnavi
77	@yamatantosho	@w_chuo_library
78	@mu_lib	@npoiaal
79	@NDLJP	@RCHtosho
80	@nuhw_lib	@NKD_lib	@lib_seiryo
81	@QLib_info	@QLib_voice	@ICER_KyushuUniv
82	@bunkyo_klib	@yguSeeds	@hsu_library223
83	@uom_lib	@SagaUnivLibrary	@OKU_lib	@NashiLibM	@KWU_Library
84	@lilika_toyama	@KumadaiLib	@waseda_lib
85	@SSJClib	@Toriokikun	@view_kun
86	@MedLibKeio	@mu_lib3	@saimed_lib_nb
87	@KobeU_Lib	@kobekernel	@KUL_kagoshima
88	@Shimadai_Lib	@hito_lib_na	@imu_tosho
89	@Sophia_MediaCC	@utms_library	@tku_iss
90	@MuroranIT_lib	@sfc_mediacenter	@kdu_library	@liss_kaetsu
91	@FksmaMedUnivLib	@tsukubauniv_lib	@kuscilib	@OsakaUnivLib	@hito_lib
92	@tsukuba_tulips	@nii_content	@drfml
93	@LibKGC	@wmul_k	@KURENAI_update
94	@gakuseisensho	@biblio_tottori	@aichihonzou
95	@ryukyus_lib	@yone_lib	@kyodai_letlib
96	@TokyoBiblio	@BiblioEi8ht	@hokudaisapollo	@bibubumuroran
97	@AU_Nlib	@ngu_lib	@Keio_MitaLib
98	@TulipsR	@dent_lib	@tobunken	@CambridgeUPJP
99	@USH_Lib	@hosei_tLib	@Kyorinsflib
100	@Library_jp	@ike_labo	@KGU_Library
